Route,Factory,Customer_State,Customer_Region,Total_Shipments,Avg_Lead_Time,Lead_Time_Std,Delayed_Shipments,Total_Sales,Total_Profit,Delay_Frequency_%,Efficiency_Score
Secret Factory → New York,Secret Factory,New York,Atlantic,24,1379.625,274.4296555942256,24,1026.25,514.45,100.0,35.64877717391305
Secret Factory → North Carolina,Secret Factory,North Carolina,Gulf,4,1548.0,181.3560034848585,4,20.0,10.4,100.0,12.771739130434778
Secret Factory → Ohio,Secret Factory,Ohio,Atlantic,13,1301.2307692307693,314.9267517604038,13,768.75,384.95,100.0,46.300167224080255
Secret Factory → Oregon,Secret Factory,Oregon,Pacific,2,1271.5,0.7071067811865476,2,180.0,90.0,100.0,50.339673913043484
Secret Factory → Pennsylvania,Secret Factory,Pennsylvania,Atlantic,19,1311.3684210526317,295.9568682025429,19,762.5,382.9,100.0,44.92276887871852
Secret Factory → Quebec,Secret Factory,Quebec,Atlantic,2,1273.5,516.8950570473662,2,100.0,50.0,100.0,50.06793478260869
Secret Factory → Rhode Island,Secret Factory,Rhode Island,Atlantic,3,1394.3333333333333,210.16501453223214,3,142.5,71.3,100.0,33.650362318840585
Secret Factory → South Carolina,Secret Factory,South Carolina,Gulf,1,909.0,,1,6.25,3.25,100.0,99.59239130434783
Secret Factory → Tennessee,Secret Factory,Tennessee,Gulf,3,1395.3333333333333,211.8875487925927,3,62.5,31.7,100.0,33.5144927536232
Secret Factory → Texas,Secret Factory,Texas,Interior,16,1227.0625,323.9083139305525,16,517.5,268.7,100.0,56.37737771739131
Secret Factory → Utah,Secret Factory,Utah,Pacific,1,1275.0,,1,100.0,50.0,100.0,49.8641304347826
Secret Factory → Vermont,Secret Factory,Vermont,Atlantic,1,1273.0,,1,7.5,3.9,100.0,50.135869565217384
Secret Factory → Virginia,Secret Factory,Virginia,Gulf,5,1053.4,200.01949904946767,5,93.75,47.15,100.0,79.9728260869565
Secret Factory → Washington,Secret Factory,Washington,Pacific,11,1472.3636363636363,190.50263658399734,11,351.25,175.85,100.0,23.04841897233203
Secret Factory → Wisconsin,Secret Factory,Wisconsin,Interior,5,1346.4,163.5735308660909,5,415.0,207.8,100.0,40.16304347826086
Sugar Shack → Arizona,Sugar Shack,Arizona,Pacific,1,1274.0,,1,11.25,6.75,100.0,50.0
Sugar Shack → California,Sugar Shack,California,Pacific,1,1638.0,,1,6.0,2.8,100.0,0.5434782608695676
Sugar Shack → Connecticut,Sugar Shack,Connecticut,Atlantic,1,1641.0,,1,3.98,2.48,100.0,0.13586956521739468
Sugar Shack → Delaware,Sugar Shack,Delaware,Atlantic,1,910.0,,1,4.5,2.1,100.0,99.45652173913044
Sugar Shack → Florida,Sugar Shack,Florida,Gulf,3,1031.0,211.31019852340302,3,36.89,22.64,100.0,83.0163043478261
Sugar Shack → Illinois,Sugar Shack,Illinois,Interior,2,1089.0,257.3868683519033,2,12.0,6.3,100.0,75.13586956521739
Sugar Shack → Michigan,Sugar Shack,Michigan,Interior,3,1395.0,212.1768130592973,3,17.740000000000002,10.09,100.0,33.559782608695656
Sugar Shack → New Jersey,Sugar Shack,New Jersey,Atlantic,1,1642.0,,1,5.97,3.72,100.0,0.0
Sugar Shack → New York,Sugar Shack,New York,Atlantic,9,1314.111111111111,285.4082358852159,9,56.97,29.12,100.0,44.55012077294687
Sugar Shack → Ohio,Sugar Shack,Ohio,Atlantic,2,1637.5,3.5355339059327378,2,18.46,9.86,100.0,0.6114130434782594
Sugar Shack → Pennsylvania,Sugar Shack,Pennsylvania,Atlantic,3,1396.3333333333333,211.02211574461418,3,24.23,14.43,100.0,33.37862318840581
Sugar Shack → Rhode Island,Sugar Shack,Rhode Island,Atlantic,1,1273.0,,1,4.5,2.1,100.0,50.135869565217384
Sugar Shack → Tennessee,Sugar Shack,Tennessee,Gulf,1,1272.0,,1,1.5,0.6,100.0,50.27173913043479
Sugar Shack → Texas,Sugar Shack,Texas,Interior,3,1395.3333333333333,212.7541617297611,3,15.0,7.0,100.0,33.5144927536232
Sugar Shack → Washington,Sugar Shack,Washington,Pacific,1,1638.0,,1,1.99,1.24,100.0,0.5434782608695676
The Other Factory → Alabama,The Other Factory,Alabama,Gulf,2,1457.0,257.3868683519033,2,35.75,2.75,100.0,25.135869565217394
The Other Factory → Arizona,The Other Factory,Arizona,Pacific,2,1271.5,0.7071067811865476,2,38.75,18.75,100.0,50.339673913043484
The Other Factory → California,The Other Factory,California,Pacific,21,1325.0,265.12563059802415,21,233.75,33.75,100.0,43.07065217391305
The Other Factory → Colorado,The Other Factory,Colorado,Pacific,2,1273.5,2.1213203435596424,2,19.5,1.5,100.0,50.06793478260869
The Other Factory → Connecticut,The Other Factory,Connecticut,Atlantic,2,907.5,2.1213203435596424,2,9.75,0.75,100.0,99.7961956521739
The Other Factory → Delaware,The Other Factory,Delaware,Atlantic,2,1456.5,260.92240225783604,2,26.0,2.0,100.0,25.203804347826086
The Other Factory → Florida,The Other Factory,Florida,Gulf,3,1029.3333333333333,212.7541617297611,3,39.0,3.0,100.0,83.24275362318842
The Other Factory → Georgia,The Other Factory,Georgia,Gulf,2,1456.0,258.8010819142764,2,39.0,3.0,100.0,25.271739130434778
The Other Factory → Indiana,The Other Factory,Indiana,Interior,1,1274.0,,1,19.5,1.5,100.0,50.0
The Other Factory → Kentucky,The Other Factory,Kentucky,Gulf,2,1271.0,519.0163773909259,2,26.0,2.0,100.0,50.40760869565217
The Other Factory → Louisiana,The Other Factory,Louisiana,Gulf,1,907.0,,1,9.75,0.75,100.0,99.86413043478261
The Other Factory → Maryland,The Other Factory,Maryland,Atlantic,1,1274.0,,1,3.25,0.25,100.0,50.0
The Other Factory → Massachusetts,The Other Factory,Massachusetts,Atlantic,3,1150.6666666666667,211.02211574461415,3,32.5,2.5,100.0,66.75724637681158
The Other Factory → Missouri,The Other Factory,Missouri,Interior,1,1275.0,,1,6.5,0.5,100.0,49.8641304347826
The Other Factory → Nevada,The Other Factory,Nevada,Pacific,1,1638.0,,1,16.25,1.25,100.0,0.5434782608695676
The Other Factory → New Hampshire,The Other Factory,New Hampshire,Atlantic,2,1088.5,258.0939751330898,2,35.75,2.75,100.0,75.2038043478261
The Other Factory → New Jersey,The Other Factory,New Jersey,Atlantic,3,1395.3333333333333,211.02211574461418,3,68.25,5.25,100.0,33.5144927536232
The Other Factory → New York,The Other Factory,New York,Atlantic,14,1351.9285714285713,326.8188075479026,14,181.75,29.75,100.0,39.4118788819876
The Other Factory → North Carolina,The Other Factory,North Carolina,Gulf,1,1635.0,,1,9.0,7.0,100.0,0.9510869565217406
The Other Factory → Ohio,The Other Factory,Ohio,Atlantic,3,1272.0,1.7320508075688772,3,29.25,2.25,100.0,50.27173913043479
The Other Factory → Oregon,The Other Factory,Oregon,Pacific,2,1089.0,258.8010819142764,2,26.0,2.0,100.0,75.13586956521739
The Other Factory → Pennsylvania,The Other Factory,Pennsylvania,Atlantic,7,1273.0,210.45981405801285,7,97.5,7.5,100.0,50.135869565217384
The Other Factory → Rhode Island,The Other Factory,Rhode Island,Atlantic,1,1273.0,,1,22.75,1.75,100.0,50.135869565217384
The Other Factory → South Carolina,The Other Factory,South Carolina,Gulf,1,1273.0,,1,6.5,0.5,100.0,50.135869565217384
The Other Factory → Tennessee,The Other Factory,Tennessee,Gulf,3,1395.6666666666667,211.61364165226522,3,42.25,3.25,100.0,33.46920289855071
The Other Factory → Texas,The Other Factory,Texas,Interior,9,1191.5555555555557,304.5181074710957,9,100.75,7.75,100.0,61.20169082125603
The Other Factory → Virginia,The Other Factory,Virginia,Gulf,4,1180.5,181.674617563012,4,55.25,4.25,100.0,62.703804347826086
The Other Factory → Washington,The Other Factory,Washington,Pacific,4,1275.0,298.0234890071586,4,52.0,4.0,100.0,49.8641304347826
Wicked Choccy's → Alabama,Wicked Choccy's,Alabama,Gulf,22,1272.7272727272727,252.84291788685942,22,333.75,217.25,100.0,50.172924901185766
Wicked Choccy's → Alberta,Wicked Choccy's,Alberta,Pacific,8,1274.375,338.3873256238436,8,146.0,94.88,100.0,49.949048913043484
Wicked Choccy's → Arizona,Wicked Choccy's,Arizona,Pacific,105,1322.1142857142856,273.20323212574897,105,1429.5,931.46,100.0,43.46273291925466
Wicked Choccy's → Arkansas,Wicked Choccy's,Arkansas,Gulf,27,1273.5185185185185,303.38213658309036,27,393.5,256.38,100.0,50.065418679549126
Wicked Choccy's → British Columbia,Wicked Choccy's,British Columbia,Pacific,4,1364.75,349.98321388318044,4,37.5,24.5,100.0,37.66983695652174
Wicked Choccy's → California,Wicked Choccy's,California,Pacific,823,1320.3268529769136,262.50029098941025,823,11394.0,7421.32,100.0,43.70559062813674
Wicked Choccy's → Colorado,Wicked Choccy's,Colorado,Pacific,70,1319.8428571428572,256.20217535841715,70,906.5,590.22,100.0,43.77135093167702
Wicked Choccy's → Connecticut,Wicked Choccy's,Connecticut,Atlantic,31,1272.8709677419354,267.3891972307388,31,440.75,287.01,100.0,50.153401122019645
Wicked Choccy's → Delaware,Wicked Choccy's,Delaware,Atlantic,49,1273.7142857142858,210.8829651726281,49,601.5,391.42,100.0,50.03881987577638
Wicked Choccy's → District of Columbia,Wicked Choccy's,District of Columbia,Atlantic,2,1275.0,0.0,2,16.25,10.55,100.0,49.8641304347826
Wicked Choccy's → Florida,Wicked Choccy's,Florida,Gulf,161,1305.0931677018634,250.265778754363,161,2009.25,1308.59,100.0,45.77538482311638
Wicked Choccy's → Georgia,Wicked Choccy's,Georgia,Gulf,65,1346.1538461538462,251.88348191482982,65,862.25,561.43,100.0,40.19648829431438
Wicked Choccy's → Idaho,Wicked Choccy's,Idaho,Pacific,7,1325.0,328.43264149593904,7,78.75,51.25,100.0,43.07065217391305
Wicked Choccy's → Illinois,Wicked Choccy's,Illinois,Interior,210,1329.1285714285714,266.256428622181,210,2801.5,1825.22,100.0,42.509704968944106
Wicked Choccy's → Indiana,Wicked Choccy's,Indiana,Interior,54,1402.462962962963,257.76533960268836,54,708.25,461.31,100.0,32.54579307568437
Wicked Choccy's → Iowa,Wicked Choccy's,Iowa,Interior,14,1403.7857142857142,272.0014645241762,14,172.5,112.5,100.0,32.366071428571445
Wicked Choccy's → Kansas,Wicked Choccy's,Kansas,Interior,9,1314.0,337.8424188878597,9,74.25,48.39,100.0,44.565217391304344
Wicked Choccy's → Kentucky,Wicked Choccy's,Kentucky,Gulf,58,1323.8103448275863,268.999344999956,58,769.25,501.39,100.0,43.23229010494751
Wicked Choccy's → Louisiana,Wicked Choccy's,Louisiana,Gulf,15,1272.2666666666667,337.9273942868849,15,220.5,143.54,100.0,50.23550724637682
Wicked Choccy's → Maine,Wicked Choccy's,Maine,Atlantic,2,908.0,0.0,2,55.25,36.07,100.0,99.72826086956522
Wicked Choccy's → Manitoba,Wicked Choccy's,Manitoba,Interior,10,1455.6,192.9007804834162,10,120.25,78.27,100.0,25.326086956521753
Wicked Choccy's → Maryland,Wicked Choccy's,Maryland,Atlantic,41,1326.7073170731708,264.93803463285894,41,652.25,425.23,100.0,42.8386797454931
Wicked Choccy's → Massachusetts,Wicked Choccy's,Massachusetts,Atlantic,54,1334.4444444444443,253.27601966701243,54,671.25,436.95,100.0,41.78743961352659
Wicked Choccy's → Michigan,Wicked Choccy's,Michigan,Interior,100,1291.85,239.8593600972508,100,1127.0,733.56,100.0,47.574728260869584
Wicked Choccy's → Minnesota,Wicked Choccy's,Minnesota,Interior,45,1330.6888888888889,310.75646868292665,45,595.25,387.87,100.0,42.29770531400966
Wicked Choccy's → Mississippi,Wicked Choccy's,Mississippi,Gulf,22,1240.4545454545455,222.88962189788813,22,315.75,205.61,100.0,54.55780632411067
Wicked Choccy's → Missouri,Wicked Choccy's,Missouri,Interior,29,1311.103448275862,298.1196242195866,29,362.25,235.82999999999998,100.0,44.958770614692654
Wicked Choccy's → Montana,Wicked Choccy's,Montana,Pacific,7,1221.857142857143,389.89760560580885,7,109.5,71.46,100.0,57.08462732919255
Wicked Choccy's → Nebraska,Wicked Choccy's,Nebraska,Interior,14,1299.2857142857142,225.09773213204312,14,185.75,121.21,100.0,46.56444099378882
Wicked Choccy's → Nevada,Wicked Choccy's,Nevada,Pacific,12,1182.25,226.37303284622928,12,151.5,98.82,100.0,62.466032608695656
Wicked Choccy's → New Brunswick,Wicked Choccy's,New Brunswick,Atlantic,4,1273.25,298.4296399488496,4,75.0,49.0,100.0,50.10190217391304
Wicked Choccy's → New Hampshire,Wicked Choccy's,New Hampshire,Atlantic,11,1340.090909090909,275.30072813033195,11,208.25,135.51,100.0,41.020256916996054
Wicked Choccy's → New Jersey,Wicked Choccy's,New Jersey,Atlantic,59,1335.3898305084747,216.57458832603515,59,672.0,437.56,100.0,41.6589904200442
Wicked Choccy's → New Mexico,Wicked Choccy's,New Mexico,Pacific,17,1488.8823529411766,226.43042042560805,17,229.5,149.26,100.0,20.804028132992315
Wicked Choccy's → New York,Wicked Choccy's,New York,Atlantic,436,1311.883027522936,245.01327683661424,436,5518.25,3594.11,100.0,44.85284952134023
Wicked Choccy's → North Carolina,Wicked Choccy's,North Carolina,Gulf,101,1352.7623762376238,261.44093591153035,101,1376.25,896.75,100.0,39.29859018510547
Wicked Choccy's → North Dakota,Wicked Choccy's,North Dakota,Interior,2,1637.0,0.0,2,52.5,34.3,100.0,0.6793478260869512
Wicked Choccy's → Nova Scotia,Wicked Choccy's,Nova Scotia,Atlantic,6,1272.6666666666667,326.91446383827474,6,87.5,56.900000000000006,100.0,50.181159420289845
Wicked Choccy's → Ohio,Wicked Choccy's,Ohio,Atlantic,189,1313.3544973544974,267.57040481995995,189,2479.75,1615.73,100.0,44.65292155509546
Wicked Choccy's → Oklahoma,Wicked Choccy's,Oklahoma,Interior,25,1332.0,250.49417824239603,25,308.25,200.91,100.0,42.11956521739131
Wicked Choccy's → Ontario,Wicked Choccy's,Ontario,Atlantic,30,1248.5666666666666,286.48700799011186,30,466.25,303.35,100.0,53.45561594202899
Wicked Choccy's → Oregon,Wicked Choccy's,Oregon,Pacific,43,1316.1627906976744,242.4143373718956,43,628.25,409.51,100.0,44.27135995955511
Wicked Choccy's → Pennsylvania,Wicked Choccy's,Pennsylvania,Atlantic,227,1339.2202643171806,263.6735460367152,227,2804.25,1826.99,100.0,41.13855104386133
Wicked Choccy's → Prince Edward Island,Wicked Choccy's,Prince Edward Island,Atlantic,4,1457.0,211.31019852340302,4,52.0,33.76,100.0,25.135869565217394
Wicked Choccy's → Quebec,Wicked Choccy's,Quebec,Atlantic,24,1243.5833333333333,322.0927380181956,24,254.75,165.53,100.0,54.13269927536233
Wicked Choccy's → Rhode Island,Wicked Choccy's,Rhode Island,Atlantic,21,1359.6666666666667,280.1016482160242,21,282.25,183.83,100.0,38.3605072463768
Wicked Choccy's → Saskatchewan,Wicked Choccy's,Saskatchewan,Pacific,2,1457.0,258.8010819142764,2,29.25,18.99,100.0,25.135869565217394
Wicked Choccy's → South Carolina,Wicked Choccy's,South Carolina,Gulf,19,1234.2105263157894,240.89914416788338,19,307.0,200.16,100.0,55.406178489702526
Wicked Choccy's → South Dakota,Wicked Choccy's,South Dakota,Interior,3,1152.0,422.62039704680603,3,33.75,22.05,100.0,66.57608695652173
Wicked Choccy's → Tennessee,Wicked Choccy's,Tennessee,Gulf,67,1393.7611940298507,241.35828325442333,67,915.75,596.21,100.0,33.72809863724855
Wicked Choccy's → Texas,Wicked Choccy's,Texas,Interior,388,1315.6082474226805,272.9403984763616,388,5140.5,3347.74,100.0,44.34670551322276
